Название;Стоимость;Стихия;Тип камня;Страна;Легендарность;Суть
Арбалет «из свежего снега»;100 сс;Вода;Нет;Берраторонт-Аэн;Редкая;Болт, выпущенный из этого арбалета, летит вдвое дальше обычного, и накладывает на цель заклинание «Ледяная глыба». +10% к урону за каждый активный предмет стихии Воды, кроме этого.
Позолоченный щит лидера;125 сс;Вода/Земля;Нет;Берраторонт-Аэн;Редкая;Этот щит позволяет защищать армию: вы можете потратить (уровень существа)^(1.5) манны на то, чтобы наложить на него заклинание «Чудесное спасение» мгновенно на любом расстоянии.
Термоброня;200 сс;Жизнь;Нет;Берраторонт-Аэн;Редкая;Дает +50% защиты от всех заклинаний, непосредственно связанных с огнем и холодом. -75% от урона молниями. Также спасает от любой температуры (имеется в виду погода).
Проявитель врагов;200 сс;Вода/Земля;Нет;Берраторонт-Аэн;Эпическая;Показывает вероятность нападения на вас тем или иным существом. Показывает на место расположения врагов.
Броня против засад;100-150-125-75;Вода/Земля;Нет;Берраторонт-Аэн;Эпическая;Эта броня позволяет полностью игнорировать удары, нанесенные в скрытом или невидимом состоянии. Кроме этого, +100% к защите от плутовского оружия, а также есть 25% шанс того, что не Древний яд не подействует.
«Гибель воров» (1);350 сс;Вода/Земля;Нет;Берраторонт-Аэн;Эпическая;Снимает с соперника все чары, эффекты и зачарования. Временно отнимает Скрытность и Дипломатию.
Лук «Недораскрыл»;500 сс;Земля;Ирсанит;Берраторонт-Аэн;Легендарная;С шансом 20% лишает возможности полета при выстреле. -50% действия любого предмета стихии Воздуха на вас. Также дает вам +200% к магии Земли и -100% к магии Воздуха. Если этот лук будет уничтожен, он накладывает на всех участников битвы заклинание «Замедление», усиленное на 500% без возможности его снять. Эффект пропадает по окончании боя.
Броня Льда и Камня;175-250-225-150;Земля;Ирсанит;Берраторонт-Аэн;Легендарная;Защищает от любых не критических физических повреждений, не связанных с оружием. Также полностью защищает от магии Воды и Земли. Если в эту броню попадет заклинание стихии Огня, она уменьшит вашу защиту на 25%, но взамен наложит заклинание «Карающая волна» такой же силы, какое оно было бы у вас. Если зачаровать эту броню на зачарование стихии Воды или Земли, эта броня также будет способна поглощать вражеские артефакты: если их эффект будет действовать на вас или ваши навыки, они будут поглощены, а вы получите (уровень артефакта)*20% ко всем своим характеристикам на (уровень артефакта) минут, также вы полностью восполните свое здоровье и манну, броня при этом разряжается.
Знамя Великого Полководца;1000 сс;Вода/Земля;Тернит;Берраторонт-Аэн;Мифическая;Это знамя позволяет вам защищаться вашей армией: 100-(уровень вашего здоровья, округленный вниз до числа, делящегося на 10)% урона перенаправляется с вас на случайного юнита в вашей армии. При этом урон действует так же, как если бы действовал непосредственно наложенным на юнита. +50% к нападению армии.
Арбалет Ледяного Дыхания;1500 сс;Вода/Земля;Тернит;Берраторонт-Аэн;Мифическая;Полностью обездвиживает существо не выше 15-ого уровня при выстреле, однако следующий удар по цели снимет этот эффект. Также снижает нападение соперника на разность между его нападением и вашим. Можно использовать как магический предмет: используя его, вы накладываете заклинание «Карающая Волна», усиленное на 200%, а также вся ваша армия получает +100% к скорости и нападению, а арбалет разряжается.
Двуручный Меч Сплоченности;Не продается;Вода/Земля;Тернит х2;Берраторонт-Аэн;Единственная;Удваивает действие всех трех предметов Полководца. Все ваши массовые заклинания не действуют на вашу армию. Ваши характеристики увеличиваются на 1% за каждого юнита в вашей армии, бонус не может быть выше 500%. Также вы получаете все способности всех существ в вашей армии.
Шлем Сплоченности;Не продается;Вода/Земля;Тернит х2;Берраторонт-Аэн;Единственная;Если на вас надет этот шлем, вы можете зачаровать всю свою броню и оружие на три зачарования. При снятии шлема все лишние зачарования снимутся в случайном порядке. –(количество существ в армии) к магии Земли и Воды. Также позволяет останавливать оружие: при ударе вы можете потратить 10 манны, и удар будет полностью заблокирован, при этом оружие будет неактивно в течение 10 секунд.
Небольшой пакет каменной пыли;25 сс;Земля;Нет;Лонгатор-Санрат-Аэн;Обычная;-25% к реакции и скорости всем существам на поле битвы, кроме применившего предмет.
Запыленный меч;50 сс;Земля;Нет;Лонгатор-Санрат-Аэн;Обычная;-1% к скорости цели за каждый удар, минус не может быть более 50%.
Запыленный щит;50 сс;Земля;Нет;Лонгатор-Санрат-Аэн;Обычная;-1% к реакции цели за каждый удар, минус не может быть более 50%.
Запыленная броня;10-25-20-5;Земля;Нет;Лонгатор-Санрат-Аэн;Обычная;Если у вас экипированы запыленный меч и запыленный щит, вы получаете все бонусы, отнятые ими у соперников.
Настойка из серого пепла;100 сс;Земля;Нет;Лонгатор-Санрат-Аэн;Редкая;Вы получаете эффект «Зелья ночного зрения», а также получаете -50% урона от магии Хаоса. Если выпить две порции этой настойки, вы получите эффект «Эссенции серой пыли».
Несколько старых выпусков журнала «Самые успешные варвары»;125 сс;Земля;Нет;Лонгатор-Санрат-Аэн;Редкая;Если вы находитесь на территории стран, населенных варварами, вы получаете +2 к Дипломатии, а также +1 ко всем навыкам Древнего Технарства.
Эссенция серой пыли;200 сс;Земля;Нет;Лонгатор-Санрат-Аэн;Редкая;Все ваши заклинание магии Земли действуют на всех существ вне зависимости от их принадлежности, а «погодные» заклинания (торнадо, иней молния, землетрясение и т.д.), на вас не действуют. Если выпить половину порции этой настойки, вы получите эффект «Настойка из серого пепла».
Усилитель брони (5);250 сс;Земля;Нет;Лонгатор-Санрат-Аэн;Эпическая;Вы можете до начала боя зачаровать броню на случайное зачарование, если она не зачарована. После конца боя это зачарование пропадает.
Серый посох;300 сс;Земля;Нет;Лонгатор-Санрат-Аэн;Эпическая;Ослабляет все эффекты всех вражеских вещей в 1.5 раза. Также +50% к магическому сопротивлению.
Выжженная броня;150-200-150-100;Земля;Нет;Лонгатор-Санрат-Аэн;Эпическая;Защищает от любых первых десяти ударов, потом превращается в обычную броню из метеоритного железа (до конца боя).
Браслет высокого риска;500 сс;Земля;Ирсанит;Лонгатор-Санрат-Аэн;Легендарная;Если у вас закончилось здоровье, вы получаете эффект «Непобедимого зелья» на одну минуту, а также +100% к нападению. Если за это время вы не заканчиваете бой победой, вы платите за возрождение тройную цену, а браслет исчезает.
Броня серых скал;150-225-200-125;Земля;Ирсанит;Лонгатор-Санрат-Аэн;Легендарная;Любой удар по броне накладывает на соперника абсолютно случайное заклинание, а любой ваш удар накладывает абсолютно случайное заклинание на вас. Заклинание «Землетрясение» восстанавливает ваше здоровье, а также все предметы стихии «Земля» наносят вам на 50% урона меньше.
«Всё станет пылью, и воюющий с нею превратится в пыль...».;1000 сс;Земля;Апавит;Лонгатор-Санрат-Аэн;Мифическая;Способно уничтожить у противника один предмет, не являющийся «Единственным». Взамен вы получите +100% к скорости, реакции и полностью восстанавливаете здоровье, а предмет разряжается.
Неведомое Сокровище;1000 сс;Земля;Апавит;Лонгатор-Санрат-Аэн;Мифическая;Усиливает любой предмет, сделанный из стандартного материала. Если предмет из материала Ядра Планеты, он усиливается еще на одну ступень и становится сильнее по всем своим свойствам, а также становится способным накладывать заклинание «Землетрясение», усиленное на (уровень героя+5)*20%.
Кастет Пустоши;Не продается;Земля;Апавит х2;Лонгатор-Санрат-Аэн;Единственная;Если вы пожертвовали артефакт, пробивает любую броню, вне зависимости от ее чар и способностей, но не ломает ее. Дает вам +100% к скорости, если вы сражаетесь на территории пустоши. Есть шанс заблокировать любой удар, нанесенный вам оружием ближнего боя. Все заклинания магии Жизни не работают против вас. Также может стрелять шипами (эта способность применяется не чаще, чем раз в день): эти шипы лишают противника всех усилений скорости и реакции, а также лишает Древних заклинаний, а кастет разряжается.
Маска Пустоши;Не продается;Земля;Апавит х2;Лонгатор-Санрат-Аэн;Единственная;Вы можете исчезнуть с поля боя, став бестелесным, если у вас 100% здоровья. При этом вас невозможно обнаружить, но вы не можете умереть или получить повреждения, никак не можете взаимодействовать с миром, при этом не можете переместиться дальше, чем на 1 км от места применения. Эффект длится не более недели. Маска после этого разряжается.
Меч Силы;25 сс;Земля/Жизнь;Нет;Аратакан-Аэн;Обычная;+1% к нападению за каждый удар по вам.
Щит Матерого Волка;50 сс;Земля/Жизнь;Нет;Аратакан-Аэн;Обычная;Этот щит может повредить меч, которым вас атакуют. Также если вы сражаетесь с волком, этот щит может обездвижить волка, приклеив его зубы к себе.
Маска с клыками;50 сс;Земля;Нет;Аратакан-Аэн;Обычная;На вас накладывается заклинание «Аура страха». Если соперник потратит столько манны, сколько у вас осталось, на всех ваших противников накладывается «Аура страха», усиленная в три раза на один день, а вы получаете столько манны, сколько сопреник потратил таким образом.
Броня из прочного волка;10-25-20-5;Земля;Нет;Аратакан-Аэн;Обычная;От этой брони отскакивают стрелы, если они стоят меньше 5 сс (за 10 единиц).
Амулет из фиолетового печаника;100 сс;Жизнь;Нет;Аратакан-Аэн;Редкая;Для использования надо потратить 10 манны. На вас накладываются заклинания «Замедление», «Ускорение». Спустя одну минуту - «Молния», усиленное в 10 раз, «Чудесное спасение». Спустя еще минуту на вас накладывается заклинание «Анти-магия».
Книга боевых кличей;125 сс;Жизнь;Нет;Аратакан-Аэн;Редкая;Вы получаете возможность управлять командиром вашей армией, усиливая его ярость, направляя на атаку, или посылая его на защиту. Армия не может вас предать и не сдается.
Корабль Семи Скал;200 сс;Земля;Нет;Аратакан-Аэн;Редкая;Если вы находитесь в горах, этот корабль может перенести вас через пропасть, а затем легко стать невесомым и уместиться в ваш рюкзак.
Лук-Вулкан;250 сс;Земля;Нет;Аратакан-Аэн;Эпическая;При нанесении урона каждому существу вы имеете 25% шанс нанести этот урон любому другому существу по вашему выбору. Вы можете уничтожить этот лук. Если вы это делаете, вы получаете возможность видеть все вещи, деньг и артефакты сквозь любые преграды, различать лепреконское золото, а также получить все бонусы от вашей лошади, не находясь на ней.
Огромный Топор-Крушитель;300 сс;Земля/Жизнь;Нет;Аратакан-Аэн;Эпическая;После каждого вашего удара вы получаете +5% к нападению. При достижении 20 ударов подряд вы получаете возможность рушить стены. Бонус обнуляется при получении любого урона.
Броня из медведя-железоеда;150-200-150-100;Земля/Жизнь;Нет;Аратакан-Аэн;Эпическая;Вы можете уничтожить любую броню. Если вы это делаете, броня из медведя-железоеда получает 70% от эффективности уничтоженной брони. Броня не может стать лучше, чем броня из неразрушимого сплава.
Камень-стена;500 сс;Земля/Жизнь;Ирсанит;Аратакан-Аэн;Легендарная;При применении этого предмета вы теряете возможность атаковать и двигаться, но получаете полную неуязвимость. За каждые 10 секунд тратится 1 манна. Каждое заклинание, наколдованное рядом с вами, восполняет вашу манну и дает +10% к нападению. Бонус не может превышать 500%. Вы можете выйти из этого состояния в любой момент. После применения предмет разряжается.
Броня из медведя-метеоритогрыза;150-225-200-125;Земля/Жизнь;Ирсанит;Аратакан-Аэн;Легендарная;Вы можете уничтожить любую броню. Если вы это делаете, броня из медведя-метеоритогрыза получает 70% от эффективности уничтоженной брони. Броня не может стать лучше, чем броня из неразрушимого сплава. Броня также получает все зачарования уничтоженной брони. Вы можете уничтожить любое существо 1-10 уровня. Если вы это делаете, вы получаете +(уровень существа*10)% к защите и к магической защите на один день, а броня разряжается.
Легендарный Топор-Скала;1000 сс;Земля/Жизнь;Апавит;Аратакан-Аэн;Мифическая;Вы можете уничтожить любое существо не выше 15-ого уровня, при этом предмет разряжается.
Разрушитель Стихий;1000 сс;Земля/Жизнь;Апавит;Аратакан-Аэн;Мифическая;Активируйте этот предмет. Он разряжается, а вы получаете практически полное игнорирование одной из стихий (заклинаний, зачарований и предметов). Чтобы поменять стихию, зарядите предмет и используйте его вновь.
Закаленная Дубина Силы;Не продается;Земля;Апавит х2;Аратакан-Аэн;Единственная;Эта дубина может заблокировать любой удар как щит, при этом она может крушить камни, броню и щиты. При ударе этой дубиной с цели снимаются все позитивные эффекты.
Кольцо Силы;Не продается;Жизнь;Апавит х2;Аратакан-Аэн;Единственная;Вы можете уничтожить любой артефакт, зелье, зачарование или вещь прямой атакой с шансом 50%. Если вы промахиваетесь при этом ударе, вы теряете 50% всех бонусов к характеристикам. Также вы получаете возможность проходить сквозь любые магические барьеры. На вас не действуют никакие заклинания, кроме Древних, а также все навыки, кроме Абсолютных. Вы можете пробивать стены и все щиты не прочнее, чем из метеоритного железа. Если уровень героя вдвое меньше вашего, вы получаете шанс 10% уничтожить его с одного удара вне зависимости от его навыков и вещей.
Светлый меч;25 сс;Воздух;Нет;Револьт;Обычная;+25% к магии Света, +25% к магии Воздуха, +25% к урону по нежити.
Светлое кольцо;25 сс;Воздух;Нет;Револьт;Обычная;+25% к магии Света, +25% к магии Воздуха, +25% к магическому урону по нежити.
Светлый щит;25 сс;Воздух/Огонь;Нет;Револьт;Обычная;+25% к магии Света, +25% к магии Воздуха, +25% к защите от нежити.
Броня Воли;100 сс;Воздух/Огонь;Нет;Револьт;Обычная;На вас не действуют заклинания Разума, наколдованные существами не выше 11-ого уровня и героями с уровнем вдвое меньше вашего.
Молниеносный Кулон;100 сс;Огонь;Нет;Револьт;Редкая;Ваша лошадь получают +100% к скорости и +50% к дальности перемещения.
Светлый Барьер (1);125 сс;Воздух/Огонь;Нет;Револьт;Редкая;Поставив этот барьер, вы лишаете возможности пройти сквозь него всем демонам и нежити, если только они не обладают Древней Магией Воздуха. Действует до тех пор, пока вы не сядете на лошадь или не наколдуете заклинание, отличное от заклинания магии Возуха.
Седло Трех Ветров;200 сс;Воздух/Огонь;Нет;Револьт;Редкая;Скорость вашей лошади, а также ваша реакция на лошади удваиваются.
Броня Небесной Звезды;50-100-75-25;Огонь;Нет;Револьт;Эпическая;Заклинание «Луч света» получает возможность наносить урон врагам. Все летающие существа получают +25% ко всем характеристикам.
Меч Чистого Неба;300 сс;Воздух;Нет;Револьт;Эпическая;За 100 манны вы получаете возможность сделать «Клич Чистого Солнца»: заставить до заката солнца всю нежить и всех демонов гореть, если на них непосредственно падают солнечные лучи. Если вы платите эти 100 манны, солнечный свет также исцеляет вас.
Легкий нагрудник;500 сс;Воздух;Нет;Револьт;Эпическая;Вы получаете возможность к полету, при этом вы летите со скоростью 50 км/день, и платите 1 единицу манны за каждый километр в пути. Этот нагрудник также усиливает вашу броню, придавая ей немного дополнительной прочности.
Арбалет Легкого Полета;750 сс;Воздух;Скайерит;Револьт;Легендарная;Дальность полета болта утраивается. При успешном попадании он наносит тройной урон, снимает все положительные эффекты с цели и с шансом 25% уничтожает случайное не единственное зачарование на предмете. Все нелетающие существа соперника получают эффект «Скорбь».
Красная броня;150-225-200-125;Огонь;Скайерит;Револьт;Легендарная;Каждое убитое существо из армии повышает все ваши характеристики на 5%. Если бонус превысил 100%, он обнуляется, при этом вы можете нанести один специальный удар, который с шансом 25% убивает любое существо не выше 12 уровня, и любого героя не выше 20 уровня, а также игнорирует всю защиту, кроме брони.
Катапульта Семи Ветров;1500 сс;Воздух/Огонь;Эденит;Револьт;Мифическая;Эта катапульта стреляет големами, которые атакуют стены и соперников. Каждый голем, уничтоживший пять врагов, становится на один уровень сильнее (максимум 15), изначально у них первый уровень. Также эту катапульту можно зарядить одним заклинанием за его стоимость*k. В таком случае при смерти первых k големов это заклинание будет наложено на k врагов.
Уникальный магический объект;2000 сс;Воздух;Эденит;Револьт;Мифическая;Пока вы носите его активным, меняет вашу фракцию и национальность на Револьт. Это означает, что вы получаете возможность с самого начала выбрать существо, в которое будете иметь возможность превращаться в любой момент. Это необязательно должно быть существо какой-либо фракции, но если оно имеет уровень, то этот уровень не должен быть выше 10.
Вольфрамовая броня;Не продается;Воздух/Огонь;Аэталит;Револьт;Единственная;Если вы обладаете артефактом:Кольцо простоты – стоимость всех заклинаний уменьшается вдвое.Мышь для игры в GD – вы получаете +100% к реакции.«Совершенный код» - вы получаете все заклинания всех уровней на 5-ом уровне, кроме Древних.Эта броня способна также поглощать удары. Если поглощено достаточно ударов, вы можете наложить заклинание «Буря Возмездия» без траты манны . Оно восстанавливает половину вашего потраченного здоровья и дает вам дополнительную защиту на время следующей битвы. Также можно за 75% всей своей манны (от максимального количества) можно наложить заклинание «Анти-магия» на всех участников битвы до конца битвы. При этом это заклинание не защищает от заклинания «Ударная волна», а если «Ударная волна» ваша, усиливает ее. 
Вольфрамовые шипы для артефакта;Не продается;Воздух;Аэталит;Револьт;Единственная;Одевается на артефакт. Утраивает все позитивные эффекты артефакта, снимает все негативные. Позволяет накладывать заклинание «Ударная волна» без траты манны и одной рукой. Артефакт атакует так, как если бы это был меч из неразрушимого сплава. При этом он получает умение с некоторым шансом снимать заклинания с цели, а также выводить из строя технику и чары. 
Меч из креподуба;25 сс;Жизнь;Нет;Демиллиакорсен;Обычная;+25% к магии Жизни.
Лук из креподуба;25 сс;Жизнь;Нет;Демиллиакорсен;Обычная;-25% к магии Хаоса.
Щит из крепкодуба;50 сс;Жизнь;Нет;Демиллиакорсен;Обычная;+25% к магии Жизни, -25% от магии Хаоса.
Броня из крепкодуба;10-25-20-5;Жизнь;Нет;Демиллиакорсен;Обычная;+25% к магии Жизни, -25% от магии Хаоса.
Отвар из златоцвета (1);100 сс;Жизнь/Вода;Нет;Демиллиакорсен;Редкая;Снимает все отрицательные эффекты всех зелий, заклинаний, чар и умений, кроме Древних.
Отвар из сребролиста (1);125 сс;Жизнь/Вода;Нет;Демиллиакорсен;Редкая;Позволяет не получать урон от падения, утопления, горения, а также на вас не срабатывают никакие ловушки, кроме Древних.
Склянка из Живого Песка;200 сс;Земля/Жизнь;Нет;Демиллиакорсен;Редкая;При убийстве любого существа не выше 15-ого уровня вы можете зарядить эту склянку, если в ней находится зелье. Если вы это делаете, зелье получает (уровень/22.5+1)х бонус ко всем своим характеристикам. 
Лук Джунглей;250 сс;Земля/Жизнь;Нет;Демиллиакорсен;Эпическая;Этот лук автоматически целится в незащищенные места соперника. Этот его навык невозможно отобрать ничем, кроме Единственных вещей. Также если этот лук полить зельем, то любая ваша стрела будет нести отрицательный эффект врагу, а в случае уничтожения врага даст вам положительный эффект. При этом эффекты многих попаданий могут складываться, но не более трех раз.
Броня из лесного хрусталя;100-100-100-100;Жизнь/Вода;Нет;Демиллиакорсен;Эпическая;Никто не знает, что она делает. Наслаждайтесь тем, как красиво она выглядит.
Усилитель призыва;300 сс;Жизнь;Нет;Демиллиакорсен;Эпическая;Все призванные вами существа многократно усиливаются.
Амулет усиления;500 сс;Жизнь;Ирсанит;Демиллиакорсен;Легендарная;Когда призываете существо, выберите одно из двух:1) Призвать его так, как будто на вас «Усилитель призыва».2) Вместо призыва существа получить всю его манну, способности и увеличить свои характеристики в зависимости от силы существа. В таком случае вы тратите вдвое больше манны.
Экспериментальный аппарат;750 сс;Земля/Жизнь;Ирсанит;Демиллиакорсен;Легендарная;Потратьте всю манну, снимите с себя все положительные эффекты и чары. Вы получаете абсолютную неуязвимость ко всему, но не можете двигаться, пока она действует.
Мифический Круг;2000 сс;Земля/Жизнь;Азурит;Демиллиакорсен;Мифическая;Накладывает заклинание «Принужденное подчинение» на все выбранные вами цели в радиусе одного километра, при этом вы временно исчезаете из мира, пока не решите вернуться обратно или пока не закончится действие этого предмета. Вы можете управлять всеми целями одновременно. Действие длится не более одного дня, после чего предмет разряжается. Если все цели убивают раньше, чем проходит один день или вы сами заканчиваете использование, вы возвращаетесь в мир, а этот предмет исчезает.
Броня Неукротимого Пробуждения Природы;250-300-275-200;Жизнь;Азурит;Демиллиакорсен;Мифическая;Любой яд, выпитый вами, теперь в течение дня будет накладываться с каждый вашим ударом, нанесенным оружием ближнего боя. Более того, каждый, кто нанесет вам урон оружием ближнего боя, также окажется под действием яда. Все существа, призванные против вас, автоматически переходят на вашу сторону. Все навыки существ не выше 12-ого уровня игнорируются вами.
Источник Великой Природы;Не продается;Земля/Жизнь;Азурит х2;Демиллиакорсен;Единственная;При наличии  Склянки из Живого Песка автоматически наполняет ее абсолютно смертельным ядом, против которого не существует никакого противоядия. Этот яд действует на абсолютно всех героев и всех существ (существа не выше 15 уровня), кроме нежити. Нежити он наносит огромный урон, практически уничтожая. Если вы обладаете Луком Великих Деревьев, этот яд вас полностью исцеляет, регенерирует вашу манну и наделяет невосприимчивостью к другим ядам, зельям и заклинаниям, кроме Древних. Яд восстанавливается внутри пустой склянки каждый час.
Лук Великой Природы;Не продается;Вода/Жизнь;Азурит х2;Демиллиакорсен;Единственная;Вы можете потратить всю манну. Если вы это делаете, этот лук может убить любое существо не выше 15-ого уровня вне зависимости от его способностей.
Арбалет с изображением Ядра Планеты;25 сс;Огонь;Нет;Десерторкар;Обычная;Чем он отличается от обычного арбалета? Да ничем! Хотя нет, почему же? При его уничтожении он восполняет вам всю манну.
Игрушечный бес;25 сс;Земля/Огонь;Нет;Десерторкар;Обычная;Любое заклинание Тьмы, Хаоса или Земли тратит на 1-2 единицы манны меньше.
Броня из шкур бесов;10-30-20-10;Земля/Огонь;Нет;Десерторкар;Обычная;Никто, кроме вас и вещей, применяемых вами, не способен влиять на запас вашей манны.
Амулет с демоническими рунами и кружка воды в подарок;100 сс;Огонь;Нет;Десерторкар;Обычная;Вода в пустыне не помешает. А что же делает амулет? Амулет дает +25% к защите от людей, магов и эльфов, а также не дает бесам уменьшать запас вашей манны.
Защитное стекло;125 сс;Огонь;Нет;Десерторкар;Редкая;Каждый раз, когда на вас накладывают заклинание магии Хаоса, Огня или Тьмы, вы можете заплатить удвоенное количество манны, потраченной на это заклинания. Если вы это делаете, заклинание отражается в того, кто его сотворил.
Маннаворот;150 сс;Земля/Огонь;Нет;Десерторкар;Редкая;Если вы отклоняете (но не игнорируете на 100% и не отражаете обратно в атакующего) любое заклинание, вы получаете всю манну, потраченную на него.
Манна-магнит;200 сс;Земля/Огонь;Нет;Десерторкар;Редкая;Вы можете произнести специальное заклинание, которое уничтожает целевое заклинание. Вы получаете половину манны, потраченной на этой заклинание, но при этом следующее ваше заклинание теряет в силе вдвое.
Игрушечный Владыка Бездны;250 сс;Земля/Огонь;Нет;Десерторкар;Эпическая;Вы можете потратить k манны, при этом вы получаете +k% ко всем своим характеристикам. Если k>=200, вы можете призвать пять Владык Бездны в вашу армию.
Броня из шкур Владык Бездны;75-125-100-50;Земля/Огонь;Нет;Десерторкар;Эпическая;Никто, кроме вас и вещей, применяемых вами, не способен влиять на запас вашей манны, а также на все ваши магические характеристики и способности (кроме игнорирования магии). К примеру, вашу магию могут игнорировать, но не могут ослабить.
Лук-астероид;500 сс;Огонь;Нет;Десерторкар;Эпическая;Заклинание «Бушующий Армагеддон» не действует на вас и вашу армию.
Пески Великой Пустыни;500 сс;Земля/Огонь;Инфлеймит;Десерторкар;Легендарная;Вы можете сделать местность площадью 1 квадратный километр полностью непроходимой. В любой момент вы можете отменить этот эффект, и снова использовать этот предмет.
Поисковой Портал (1);750 сс;Огонь;Инфлеймит;Десерторкар;Легендарная;Выберите любое существо не выше 15-ого уровня или героя. Если вы ранее его видели, вы можете установить этот портал в любом месте, и он телепортирует вас к местоположению выбранного вами ранее объекта.
Алтарь Сгоревшего Язычника;1000 сс;Огонь;Авгит;Десерторкар;Мифическая;Меняет вашу фракцию и национальность на Демона. Дает вам возможность стать абсолютно любым демоном: начиная от существа (не выше 12-ого уровня), демонопоклонника, просто героя демонов или остаться собой. Чтобы вернуть себе прежнее состояние, необходимо убить недалеко от этого алтаря любое существо не ниже 12-ого уровня либо подписать договор о переносе проклятия на кого-либо другого. Если алтарь уничтожить, пока вы в обличии демона, вы превращаетесь обратно и погибаете.
